Month,Account,Cost,,,,,,,,
22,snack,3.72,cash,,,,,,,
22,snack,7.99,cash,,,,,,,
23,Chick-fill-a,12.77,crypto.com,,,,,,,
23,eddieV's,102.53,crypto.com,,,,,,,
23,EddieV's-tip,20,cash,,,,,,,
23,Seven11,9.48,cash,,,,,,,
24,comcast,137.3,crypto.com,,,,,,,
25,gas,61.07,crypto.com,west street mart,aka liberty gas(?),,,,,
25,mcds,9.32,cash,,,,,,,
25,costco,169.86,crypto.com,,,,,,,
25,costco,$151.59,Usaa-cc,,,,,,,
25,Patomac-cruz,100,cash,,,,,,,
25,Dc-parking,37,Mnt-cc,,,,,,,
26,gas,37.99,crypto.com,Super 9.743 G @ 3.899/g,,,,,,
27,Cap-one-fee,3,crypto.com,,,,,,,
27,crypto.com-fee,12,crypto.com,Capital-one-tysons,,,,,,
27,SugarPalm-thia,619.27,Usaa-cc,,,,,,,
27,ellie ,1000,cash,,,,,,,
27,Micro-center,167.38,crypto.com,,,,,,,
27,crypto.com-fee,3,crypto.com,,,,,,,
27,Truist-atm-fee,12,crypto.com,,,,,,,
28,Cvspharm-chrygrv,2.7,cash,,,,,,,
28,gas,38.7,crypto.com,Super 9.926 G @ 3.899/g,,,,,,
28,Barnes-noble,65.14,crypto.com,,,,,,,
28,grauls,19.77,cash,,,,,,,
29,Rise-fitness-tshirts,40,cash,,,,,,,
30,Cap-one-fee,3,crypto.com,,,,,,,
30,crypto.com-fee,12,crypto.com,For $600,,,,,,
30,Micro-center,-84.79,crypto.com,returned a switch,,,,,,
30,eddieV's,82.68,crypto.com,,,,,,,
30,EddieV's-tip,20,cash,,,,,,,
30,Chick-fill-a,14.56,cash,,,,,,,
30,River-fee,40.5,River-cvt-usd,,,,,,,
30,River-btc-send-fee,0.67,River-btc-fee,0.00000635 BTC,0.00955985 BTC to crypto.com,,~1000 usd,,,
30,Sophia-colege-sem1,1300,cash,,,,,,,
31,costco,237.85,crypto.com,,,,,,,
31,rebbelionBurbon,111.05,crypto.com,,,,,,,
31,RebbelionBurbon-tp,15,cash,,,,,,,
31,crypto.com,200,cash,,,,,,,
31,crypto.com-fee,3,crypto.com,,,,,,,
31,Truist-fee,4,crypto.com2cash,,,,,,,
31,,0,eom spot,,,,,,,
June,,,15535.7,,,,,,,
1,mortgage,1853.39,Truist-4000,,,,,,,
1,bge,250,Mnt-cc,,,,,,,
1,Bge-fuckn-fee,2.3,Mnt-cc,,,,,,,
1,comcast,140,Mn-cc,,,,,,,
1,Liberty-gas-westSt,52.97,crypto.com,Super 13.585 G @ 3.899/g,,,,,,
1,Charm-city,174.9,cash,,,,,,,
1,Seven11,13.92,cash,,,,,,,
2,Sound-advisory,833,Usaa-cc,,,,,,,
2,Galley-cafe-arin,20.64,cash,,,,,,,
2,Title-boxing,100,cash,,,,,,,
3,Atm-fee,3,Cap-one,,,,,,,
3,Galley-cafe-arin,23.28,cash,,,,,,,
3,walmart,52.87,cash,,,,,,,
4,Galley-cafe-arin,19.05,cash,,,,,,,
5,Food-Lion,9.53,cash,,,,,,,
5,Galley-cafe-arin,25.88,cash,,,,,,,
5,ellie,160,cash,,,,,,,
6,Galley-cafe-arin,19.05,crypto.com,,,,,,,
6,ATM-fee,3,crypto.com,,,,,,,
6,eddieV's,266.52,Mnt-cc,,,,,,,
